name,body,location
ASIS_r,pelvis,[-0.00000000000000001 -0.00000000000000001  0.11922630013073926]
ASIS_l,pelvis,[ 0.                   0.00000000000000001 -0.11922630013073926]
PSIS_r,pelvis,[-0.14301855212326786  0.00676054152469435  0.04404184196617538]
PSIS_l,pelvis,[-0.14240806025285782  0.01333669709015607 -0.04744840943293206]
femur_l_center_in_pelvis,pelvis,[-0.04924598189554509 -0.08015874048828486 -0.08742543205134577]
femur_r_center_in_pelvis,pelvis,[-0.05204886664768531 -0.0773369754777602   0.08328883762613504]
ilium_r,pelvis,[-0.07058069641599851  0.0643262538073241   0.10964064579916916]
ilium_l,pelvis,[-0.07304299831015955  0.06505102708917412 -0.10885686522739642]
isch_spine_r,pelvis,[-0.0969213546144678  -0.07003528039833326  0.05659914207770043]
isch_spine_l,pelvis,[-0.09685710806791005 -0.06957106671930953 -0.06123545820776655]
isch_tuber_r,pelvis,[-0.10235416976633827 -0.11803760777258095  0.0537569353578862 ]
isch_tuber_l,pelvis,[-0.10175359886499155 -0.1172908685919705  -0.06124165098876033]
isch_infer_r,pelvis,[-0.04757361479778423 -0.14124567322366813  0.02997169418252167]
isch_infer_l,pelvis,[-0.04017178070485313 -0.1374547496790589  -0.03324902424704806]
pub_infer_c,pelvis,[-0.01786861039334451 -0.11415561598225277 -0.00143938853994424]
torso_origin_in_pelvis,pelvis,[-0.08082770933244876  0.02517192518369571  0.00660817344905096]
pub_super_c,pelvis,[-0.00000000000000009 -0.09185389129937609 -0.00126096362449303]
sacroiliac_r,pelvis,[-0.12327163794046822 -0.01707907522786959  0.04553633695346727]
sacroiliac_l,pelvis,[-0.12211125451074525 -0.00039570645290863 -0.04157738976843568]
5th_sacr_v,pelvis,[-0.12777736946603377 -0.07313184792913124 -0.00467792949632172]
AIIS_r,pelvis,[-0.02507737950844343 -0.04166345983668562  0.09247249549141702]
AIIS_l,pelvis,[-0.02483452823066174 -0.038697180930526   -0.09434220371141569]
knee_l_med,femur_l,[-0.00000000000000001 -0.3947601991534125   0.0451992621573338 ]
