time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,59.3332,15.4952,97.3731,2.00112,53.8092,103.176,0,144.318,218.045,106.836,30.3638,20.5154,24.0576,178.508,287.139,225.942,155.709,12.8852,1.89663,57.7935,48.139,66.1186,60.2852,16.8262,76.9723,224.379,274.11,0,563.66,46.8662,12.6652,0,130.579,105.681,13.8807,525.428,84.5343,0,0,742.389,62.4971,11.6803,1.78043,0,12.33,15.0671,0,0,0,83.9514,44.1371,6.76081,0,0.204736,78.0399,88.3411,5.38102,23.7189,0,0.821771,52.4422,0.415697,0,1.94216,22.2285,44.226,85.3848,0,39.1037,30.5353,374.547,0.0113582,0,0.215572,0,0,58.9364,0,0,0,
0.18,61.9669,15.496,98.5134,1.83112,58.0047,108.757,0,149.056,222.911,109.047,29.9159,18.8121,22.5608,178.516,286.554,225.254,155.242,8.10392,1.56365,58.7788,44.3806,56.399,46.8259,17.6964,64.2335,220.511,272.284,0,552.492,53.7334,17.1576,0,249.751,108.531,15.6246,532.494,82.4581,0,0,872.56,61.2738,6.54775,2.44835,0,11.6418,10.8673,0,0,0,86.1339,43.7051,6.83375,0,0.174597,81.0241,94.2712,7.19788,24.2795,0,0.815466,55.9352,0.346516,0,1.92353,25.1985,44.6604,87.2934,0,38.8854,30.5115,374.546,0.000956629,0,0.177885,0,0,58.5469,0,0,0,
0.185,60.0041,16.254,81.843,0.105021,43.5471,101.826,0,138.223,234.505,117.107,28.9719,15.4999,6.17968,141.993,260.667,195.899,121.732,5.07959,0.374902,52.3584,40.0425,52.3615,40.9338,14.1518,50.2981,204.219,257.88,0,545.914,85.8596,21.8323,0,218.702,49.0378,21.5979,599.746,78.7721,5.23266,9.54933,1040.36,66.3237,6.50079,4.37219,0.569311,15.5892,8.77678,0,0,1.60809,91.8593,42.6885,4.59668,0,0,64.974,78.6811,9.18166,2.70977,0,0,18.8076,0,0,2.06551,36.3325,40.9856,82.8901,0,50.6595,44.596,374.565,0,0,0,0,5.26667,52.6831,6.09532,12.4806,11.4848,
0.19,59.8178,16.8908,74.1958,0,38.4145,99.4077,0,128.132,245.266,124.456,28.3247,13.1468,0.248602,115.469,249.45,182.332,106.782,4.25119,0.0455566,50.8393,33.8033,51.9188,40.1258,12.8301,38.474,193.231,246.183,0,535.568,104.384,24.3937,0,209.948,8.16632,25.5866,653.218,76.6916,7.10894,14.8391,1107.14,66.1749,5.8047,5.0702,0.112518,14.2192,6.57499,0,0,1.97214,93.4319,41.578,2.82808,0,0,56.982,70.2758,9.98677,7.59863,0,0,78.2593,0,0,1.84311,53.2662,37.567,78.516,0,70.4991,53.4449,374.538,0,0,0,0,6.67201,47.5672,7.7816,16.3967,14.2539,
0.195,59.5388,17.2718,70.3681,0,35.6245,96.9184,0,119.017,254.589,130.832,27.7025,11.4228,0,96.9081,247.167,180.559,103.719,4.22336,0,49.2844,29.2503,52.0951,39.6988,12.1398,34.3691,186.165,237.86,0,529.631,114.942,26.0444,0,203.72,10.091,28.2116,695.482,76.2086,9.83655,19.1355,1113.61,66.2643,5.34509,5.45407,0.367668,11.7558,5.34252,0,0,3.13137,92.8712,40.682,1.56071,0,0,53.4815,66.1477,10.4359,5.47062,0,0,15.8936,0,16.7001,1.63733,89.0672,34.634,74.0417,0,112.602,60.3054,374.505,0,0,0,0,9.03278,42.1439,11.7102,27.1086,21.2387,
0.2,58.7658,17.4829,68.5215,0,33.7371,93.6901,0,110.544,262.015,136.205,27.6347,10.8288,0,81.8643,250.834,188.039,106.82,4.98188,0,47.9005,26.7983,53.6031,40.9178,11.5438,37.0211,181.171,231.794,0.00788908,529.622,120.897,26.9941,0,198.155,13.4415,29.9756,728.31,77.5511,10.8158,20.4631,1084.61,68.594,5.05623,5.70462,0.801093,9.86297,4.89622,0,0,3.74899,92.2389,39.9866,0.745269,0,0,52.8063,65.0275,10.7468,0,0,0,91.5308,0,0,1.52889,133.105,32.3185,69.703,0,167.134,66.9833,374.461,0,0,0,0,10.0663,37.2581,13.9163,33.9636,25.1001,
0.205,56.7476,16.9869,66.5996,0,31.1666,88.7439,0,102.609,266.466,140.01,28.0934,11.0011,0,69.2429,257.481,199.991,111.655,5.92939,0,46.0265,25.646,55.2832,42.5782,10.7767,40.9446,176.711,226.89,0.0199539,530.47,125.313,27.4577,0,193.014,24.3764,31.2936,749.523,79.702,11.0413,20.7246,1040.9,71.9787,4.69764,5.89608,1.33703,8.61747,4.60711,0,0,4.08996,92.326,39.4835,0.307973,0,0,53.8619,66.0536,11.0612,0,0,0,19.8041,0,0,1.48886,164.922,30.4146,65.471,0,211.666,74.5945,374.41,0,0,0,0,10.6884,33.2739,15.4517,38.9869,27.7761,
0.21,54.0899,16.7437,64.4044,0,28.2021,82.7891,0,95.1381,267.938,142.243,28.8557,11.7465,0,62.0273,265.601,213.639,116.779,7.31507,0,44.1646,25.5835,57.3237,44.8377,10.0257,46.7709,172.926,222.93,0.101785,533.922,129.807,27.5596,0,188.268,35.1033,32.6639,760.83,83.6929,10.9465,20.558,996.078,77.7245,6.52712,6.05547,1.91096,8.09039,6.61997,0,0,4.29173,93.4712,39.0306,0.0969096,0,0,56.1239,68.7657,11.4357,0,0,0,81.595,0,0,1.51807,195.445,28.6101,61.1455,0,255.312,83.7584,374.349,0,0,0,0,11.1611,30.2026,16.831,43.4323,30.1572,
0.215,50.5333,16.0305,61.536,0,26.9725,75.8003,0,88.09,265.716,142.605,29.8955,12.9266,0,59.2576,273.952,226.868,121.003,8.78768,0.364704,41.7874,26.1744,59.5644,47.7094,9.29005,52.6339,169.294,219.54,0.348763,537.163,134.718,27.4034,0,183.822,54.2417,34.3067,761.649,88.3537,10.6836,20.1408,954.788,84.134,7.57282,6.20961,2.49216,7.97376,8.5834,0,0,4.43044,95.3092,38.6816,0.0269828,0,0,59.2669,72.7675,11.9126,0,0,0,43.7134,0,0,1.56943,219.449,26.8507,56.7179,0,292.541,94.9244,374.279,0,0,0,0,11.6014,28.1034,18.2373,47.8848,32.5744,
0.22,46.2882,15.3418,57.9788,0,14.5806,68.7061,0,81.4343,260.374,141.397,31.1135,14.4206,0,56.3633,281.466,238.326,123.206,10.5275,0.307378,39.4959,27.9693,62.3187,51.3804,8.56148,61.5593,165.938,216.443,0.82606,544.288,139.892,27.0744,0,179.508,68.297,36.2196,754.796,93.7101,10.3089,19.5263,916.882,92.1728,9.95879,6.39183,3.11415,8.35504,12.0257,0,0,4.55257,98.0263,38.447,0.014682,0,0,63.0924,77.7843,12.5304,0,0,0,41.8785,0,0,1.64648,239.101,25.0446,52.1145,0,323.638,108.508,374.206,0,0,0,0,12.0855,26.7965,19.7173,52.4966,35.0954,
0.225,41.1263,14.4297,54.7559,0,44.6525,62.0779,0,75.1573,253.074,139.03,32.6601,16.5379,0,51.3534,287.587,247.138,123.04,12.7782,3.85292,43.1341,30.3737,65.7327,64.9623,8.01117,69.3347,163.336,214.232,1.50288,551.188,144.838,26.6111,0,175.376,86.5031,38.286,743.188,101.187,9.84599,18.7307,881.176,104.347,27.569,6.61037,3.78373,11.2051,18.7786,0,0,4.65401,101.366,38.3824,0,0,0,67.5554,83.6931,13.4012,0,0,0,39.2178,0,0,1.92348,262.119,23.2679,47.4558,0,361.244,124.767,374.119,0,0,0,0,12.5632,26.4252,21.254,57.2352,37.691,
0.23,31.4257,12.8142,52.0628,0,30.8025,54.4105,0,69.4084,243.649,135.463,34.7519,19.4407,7.63284,52.5137,291.468,252.286,119.99,18.7588,14.4686,54.7004,34.8194,76.5555,95.1243,7.46753,77.6286,162.036,213.531,2.25831,557.132,149.132,26.0578,0,171.345,116.336,40.4233,725.673,113.769,9.3053,17.7587,846.375,122.094,61.8083,6.89254,4.50955,18.7205,28.6387,0,0,4.74409,105.325,38.5412,0,0,0,72.579,90.2759,14.7168,0,0,0,34.8835,0,0,2.6123,288.557,21.5035,42.8718,0,408.557,143.901,374.036,0,0,0,0,13.0503,26.6793,22.7978,61.9526,40.2828,
0.235,41.4561,10.3733,49.7449,0,25.4659,41.4513,0,64.3886,232.533,131.017,37.984,26.4238,4.87633,62.0335,292.68,252.704,114.488,30.4713,29.9716,72.6841,44.1697,98.271,144.314,6.4866,91.3499,162.621,215.177,3.07644,566.491,152.21,25.4191,0,167.593,185.251,42.5013,701.822,137.29,8.69211,16.6153,811.672,143.053,106.017,7.23538,5.27719,30.5042,40.4409,0,0,4.79421,110.313,38.9752,0,0,0,78.0514,97.4227,16.2169,0,0,0,29.7854,0,0,3.76129,310.472,19.8366,38.512,0,455.476,166.035,373.937,0,0,0,0,13.4493,27.6516,24.2917,66.4559,42.7443,
0.24,35.4724,7.90264,47.2608,0,21.4039,48.5474,0,60.2932,220.81,126.096,43.3317,37.1288,10.2892,76.1369,290.493,247.201,106.086,42.3978,46.0679,93.0644,55.4874,116.622,192.889,5.39125,105.432,164.405,219.04,3.99214,576.139,153.908,24.7385,0,163.91,263.907,44.5223,674.307,167.807,8.01125,15.3099,776.109,166.357,147.772,7.68649,6.10966,45.3624,54.3941,0,0,4.83202,116.211,39.7807,0,0,0,83.8781,105.224,17.5059,0,0,0,24.2103,0,0,5.30451,324.33,18.2778,34.4012,0,494.763,190.707,373.842,0,0,0,0,13.848,29.551,25.6863,70.5525,45.0156,
